fname,fname_std,nickname_mpc,sex
LIZIE,ELIZABETH,1,2
LILIAN,LILLIAN,1,2
ALTA,ALTA,0,2
LORETTA,LORETTA,0,2
AGUSTA,AUGUSTA,1,2
HULDAH,HULDAH,0,2
HERMANN,HERMAN,1,1
FRANKIE,FRANKIE,0,1
RICHD,RICHARD,1,1
EDWD,EDWARD,1,1
RAY,RAYMOND,1,1
PERCY,PERCY,0,1
HENRIETTE,HENRIETTE,0,2
MATHILDA,MATILDA,1,2
INA,INA,0,2
FREDRIC,FREDERICK,1,1
WILBUR,WILBUR,0,1
ROSANA,ROSANNA,1,2
CYNTHA,CYNTHIA,1,2
BENJAMINE,BENJAMIN,1,1
SUSANAH,SUSANAH,0,2
JORDAN,JORDAN,0,1
ISAC,ISAAC,1,1
INEZ,INEZ,0,2
JOHANNAH,JOHANNAH,0,2
SOLOMAN,SOLOMON,1,1
JOSAPHINE,JOSEPHINE,1,2
CATH,CATHERINE,1,2
MILLARD,MILLARD,0,1
MICHAL,MICHAEL,1,1
HAMILTON,HAMILTON,0,1
ROSS,ROSS,0,1
ENOS,ENOS,0,1
FRANZ,FRANZ,0,1
CLEMENT,CLEMENT,0,1
ORLANDO,ORLANDO,0,1
PEGGY,MARGARET,1,2
PATIENCE,PATIENCE,0,2
JESSE,JESSICA,1,2
DINAH,DINAH,0,2
NELS,NELS,0,1
ROSELLA,ROSELLA,0,2
NANCEY,NANCY,1,2
PHILLIS,PHYLLIS,1,2
EVE,EVE,0,2
NAPOLEON,NAPOLEON,0,1
JULIAN,JULIAN,0,1
WALKER,WALKER,0,1
DENIS,DENIS,0,1
SALINA,SALINA,0,2
MARSHAL,MARSHALL,1,1
EDW,EDWARD,1,1
JANIE,JANE,1,2
HUBERT,HUBERT,0,1
LEVINA,LEVINA,0,2
ARNOLD,ARNOLD,0,1
EMMET,EMMETT,1,1
CASSIE,CASSANDRA,1,2
ANGIE,ANGELA,0,2
LINCOLN,LINCOLN,0,1
DELILAH,DELILAH,0,2
MYRTIE,MYRTIE,0,2
ELECTA,ELECTA,0,2
HONORA,HONORA,0,2
URIAH,URIAH,0,1
JASON,JASON,0,1
DOCK,DOCK,0,1
MARVIN,MARVIN,0,1
AGGIE,AGNES,1,2
GIDEON,GIDEON,0,1
TILDA,TILDA,0,2
EVAN,EVAN,0,1
MAGIE,MAGIE,0,2
DORCAS,DORCAS,0,2
EMELY,EMILY,1,2
EMLY,EMILY,1,2
JOHNATHAN,JONATHAN,1,1
MARGARETTE,MARGARETTE,0,2
CARLINE,CAROLINE,1,2
SQUIRE,SQUIRE,0,1
MAREY,MARY,1,2
DIANA,DIANA,0,2
REGINA,REGINA,0,2
V,V,0,1
MALVINA,MALVINA,0,2
LYDA,LYDA,0,2
IRENA,IRENA,0,2
MARGARETH,MARGARETH,0,2
MILO,MILO,0,1
GEORGE,GEORGE,0,2
ABEL,ABEL,0,1
THEO,THEODORE,1,1
BURT,BURT,0,1
ANSON,ANSON,0,1
TABITHA,TABITHA,0,2
ALVINA,ALVINA,0,2
JULY,JULY,0,2
RANSOM,RANSOM,0,1
LILA,LILA,0,2
FRANCISCO,FRANCISCO,0,1
BRIDGETT,BRIDGET,1,2
ORRIN,ORRIN,0,1
IVA,IVA,0,2
ANTONIA,ANTONIA,0,2
GRANVILLE,GRANVILLE,0,1
MAT,MATTHEW,1,1
JUDITH,JUDITH,0,2
FRANKIE,FRANCIS,0,2
ROSALIE,ROSALIE,0,2
CLARINDA,CLARINDA,0,2
BENJAMAN,BENJAMIN,1,1
WILLY,WILLIAM,1,1
HORATIO,HORATIO,0,1
MARGET,MARGARET,1,2
RODA,RHODA,1,2
LOUSIA,LOUSIA,0,2
ELMA,ELMA,0,2
ELVA,ELVA,0,2
O,O,0,2
GEORGIANNA,GEORGIANNA,0,2
NICK,NICHOLAS,1,1
ANTONY,ANTHONY,1,1
PRINCE,PRINCE,0,1
ORVILLE,ORVILLE,0,1
ANTONE,ANTONE,0,1
CLEMENTINE,CLEMENTINE,0,2
LUDWIG,LUDWIG,0,1
K,K,0,2
MITTIE,MITTIE,0,2
OCTAVIA,OCTAVIA,0,2
ALLIS,ALICE,1,2
PRUDENCE,PRUDENCE,0,2
FLETCHER,FLETCHER,0,1
LUCIA,LUCIA,0,2
BRUCE,BRUCE,0,1
EMELIA,EMELIA,0,2
SOPHA,SOPHIA,1,2
CECILIA,CECILIA,0,2
LETITIA,LETITIA,0,2
HENRETTA,HENRIETTA,1,2
WILHELMINE,WILHELMINE,0,2
LEONORA,LEONORA,0,2
ERVIN,ERVIN,0,1
DUNCAN,DUNCAN,0,1
DOLLIE,DOROTHY,0,2
EMILE,EMILE,0,1
EZEKIEL,EZEKIEL,0,1
HARIETT,HARRIET,1,2
JINNIE,JENNIFER,0,2
ALBERTA,ALBERTA,0,2
JOB,JOB,0,1
GILES,GILES,0,1
FRANCISCA,FRANCISCA,0,2
MARTH,MARTHA,1,2
PORTER,PORTER,0,1
JUNE,JUNE,0,2
MIRA,MIRA,0,2
ABIGAL,ABIGAIL,1,2
JOHNY,JOHN,1,1
ORIN,ORIN,0,1
MERTIE,MERTIE,0,2
CHLOE,CHLOE,0,2
MERCY,MERCY,0,2
ELIZ,ELIZABETH,1,2
DUDLEY,DUDLEY,0,1
JOHNNY,JOHN,1,1
ISHAM,ISHAM,0,1
LURA,LURA,0,2
LLOYD,LLOYD,0,1
ROYAL,ROYAL,0,1
ANNY,ANNE,1,2
HARY,HENRY,1,1
HEINRICH,HEINRICH,0,1
ALVIRA,ALVIRA,0,2
ELENOR,ELEANOR,1,2
LEOPOLD,LEOPOLD,0,1
LORENA,LORENA,0,2
FREDERICA,FREDERICKA,1,2
HANORA,HONORA,1,2
LUISA,LOUISA,1,2
MASON,MASON,0,1
EMORY,EMORY,0,1
STEWART,STEWART,0,1
PATSEY,PATSY,1,2
EBENEZER,EBENEZER,0,1
BERNHARD,BERNHARD,0,1
WATSON,WATSON,0,1
EMILIA,EMILIA,0,2
DOUGLAS,DOUGLAS,0,1
BENNIE,BENJAMIN,0,1
BERT,ROBERT,0,1
NAOMI,NAOMI,0,2
LENARD,LEONARD,1,1
DAISEY,DAISY,1,2
TENNESSEE,TENNESSEE,0,2
ADELLA,ADELLA,0,2
JO,JOSEPH,1,1
MC,MICHAEL,1,1
