fname_std,bni_std,N
AMOND,0.762457310265672,13
AMOR,0,18
AMOS,0.788339361400793,6025
AMPARO,0,19
AMPELIO,0,17
AMUEL,0.673567805667501,18
AMY,0,21
AMZI,0.459355685227577,19
AMZIE,0.917992936620805,51
ANACLETO,0.165179650683375,150
ANANIAS,0.985576449572461,136
ANANISE,1,11
ANASTAS,0,11
ANASTASIO,0.242692904422582,659
ANASTASIOS,0,185
ANATOL,0,73
ANATOLE,0.441792974919021,162
ANATOLI,0,40
ANATOLIO,0,24
ANATOLIY,0,107
ANATOLY,0,142
ANCE,0.6518549049522,34
ANCLE,0.413346453709736,45
ANDER,0.818634853013117,52
ANDERS,0,169
ANDERSON,0.947840440053523,1628
ANDOR,0,69
ANDRA,0.978039138168766,43
ANDRAE,0.959136038410028,17
ANDRANIK,0.138293902838316,92
ANDRAS,0,81
ANDRE,0.878438911238393,3333
ANDREA,0.502649961878729,391
ANDREAS,0.341196321961871,3781
ANDREE,0.863373679977013,15
ANDREI,0.445197252092511,90
ANDREJ,0,53
ANDREJS,0,37
ANDREW,0.56800405473372,58129
ANDREY,0.188948383736073,96
ANDREZ,0.62499219304459,16
ANDREZEJ,0,14
ANDRIES,0.255899169131008,22
ANDRIJ,0,32
ANDRIJA,0,17
ANDRIS,0,54
ANDRIUS,0.375714730462533,13
ANDRO,0.385748783944129,25
ANDRONICO,0,11
ANDRY,0.590901038785712,12
ANDRZEJ,0,283
ANELLO,0,18
ANGE,0.572174944743519,32
ANGEL,0.376910698698529,9122
ANGELA,0.60746869286719,17
ANGELICO,0.567677414719074,13
ANGELINO,0.211033415003748,28
ANGELO,0.157752319575885,11828
ANGELOS,0.081861476263313,82
ANGELUS,0.454537195994886,29
ANGUS,0.485283601581426,866
ANIANO,0.396333493971774,12
ANIBAL,0.360892375595894,786
ANICASIO,0,16
ANICETO,0.225884705388164,206
ANIELLO,0.0561052709440873,245
ANIS,0.286336805547632,38
ANISETO,0.24714209125273,23
ANKER,0,45
ANN,0.5545992804614,34
ANNA,0.507804174646455,96
ANNAS,0.419346727980343,11
ANNE,0.839342261118718,81
ANNIBALE,0,31
ANNIS,0.678085128451679,31
ANNISE,0.986342495149563,11
ANNUNZIATO,0,14
ANNUNZIO,0,17
ANON,0.62499219304459,16
ANSE,0.419346727980343,11
ANSEL,0.290449566770826,1044
ANSELL,0.655234410822338,24
ANSELM,0.464277429397794,84
ANSELME,0.507804174646455,16
ANSELMO,0.333927609303474,570
ANSGAR,0,11
ANSIL,0.224132138555138,26
ANSIS,0,15
ANSLEY,0.751438865251915,61
ANSON,0.319246198973036,328
ANTAL,0,111
ANTANAS,0,127
ANTE,0.093522355971012,71
ANTERO,0.331383733960555,109
ANTH,0.764008460904844,42
ANTHONIE,0.357135209581301,14
ANTHONY,0.468064667512346,105002
ANTIMO,0,50
ANTIN,0.357135209581301,14
ANTIOCO,0,18
ANTIONE,0.987283227158657,47
ANTOLIN,0.407515468471999,92
ANTOLINO,0.436233418778896,31
ANTONIA,0.84532773962111,65
ANTONIN,0.143801208534927,44
ANTONINO,0.0125116192502044,571
ANTONIO,0.373094106324147,20819
ANTONIOS,0.0637860382907074,214
