fname,bni,name_freq
ABDOLBAGHI,0,1
ABDOLHOSAI,,1
ABDOLHOSSE,0,3
ABDOLJAVAD,,1
ABDOLKARIM,0,3
ABDOLLAH,0,7
ABDOLLHOSA,,1
ABDOLRAHIM,0,1
ABDOLRAHMA,0,2
ABDOLSHAKO,0,1
ABDOLVAH,,1
ABDOLVAHAB,0,2
ABDON,0.414943792599171,49
ABDOO,0,1
ABDOOL,,3
ABDORAHMAN,0,1
ABDOU,0,2
ABDOUL,0,1
ABDOULAH,0,1
ABDOULYE,1,1
ABDU,0,3
ABDUAL,0,1
ABDUL,0.726749121361167,97
ABDUL AZIZ,,1
ABDUL BR,,1
ABDUL HAMI,,1
ABDULAH,0,1
ABDULAZIA,0,1
ABDULGHAFA,,1
ABDULGHAFF,0,1
ABDULGHASE,0,1
ABDULHAKI,0,1
ABDULHAMID,,1
ABDULHUSAI,,1
ABDULHUSSA,,1
ABDULKARIM,,1
ABDULKERIM,0,1
ABDULLA,0,2
ABDULLAH,0.680277514240081,16
ABDULLATIF,0,1
ABDULLSAMA,,1
ABDULMAJED,0,1
ABDULMAJID,,1
ABDULMASI,0,1
ABDULMESIH,0,1
ABDULMOHAM,1,1
ABDULRAHEM,0,1
ABDULRAHIM,0,1
ABDULRAHMA,,1
ABDULRAS,0,1
ABDULREHMA,0,1
ABDULVAHAP,0,1
ABDUR,,3
ABDURAHMAN,,1
ABDURRAHM,0,1
ABDURRAHMA,0,1
ABDUS,,4
ABDUS SABO,1,1
ABE,0.520878290938237,1218
ABE ALBERT,0,1
ABEBE,1,1
ABED,0,6
ABEDENAGO,0,1
ABEDNEGO,0,1
ABEDON,0,3
ABEL,0.382610130240798,394
ABEL MISHA,,1
ABEL ROQUE,0,1
ABELARDO,0,159
ABELE,0,4
ABELES,0,1
ABELICIO,0,3
ABELINO,0.298512666799828,39
ABELIO,0,1
ABELIZARIO,0,1
ABELL,1,7
ABENEZER,1,1
ABENICIO,0,4
ABER,0.914078734338459,2
ABERDEEN,1,2
ABERHART,0,1
ABERLARDO,0,1
ABERNATHY,1,1
ABERT,0,4
ABERTRAND,0,1
ABESH,0,1
ABEUS,1,1
ABHIMANYU,,1
ABI,0,2
ABIA,0,1
ABIAL,0,1
ABIANO,,1
ABID,,1
ABIDAM,0,1
ABIE,0.830798287262276,20
ABIEZER,0,1
ABIG,0,1
ABIGAIL,0,5
ABIGNIL,0,1
ABIJAH,0.726749121361167,10
ABILIO,0.431785026604345,33
ABINASH,,1
ABIOUSE,1,1
ABIRL,1,1
ABIS,0,1
ABISHA,0,1
ABIT,0,1
ABKAR,0,1
ABLAKE,0,1
ABLE,0.914078734338459,16
ABLERT,0,4
ABLETT,0,1
ABLIN,0.914078734338459,2
ABNER,0.693930761502409,373
ABNER COUR,0,1
ABNER GLEN,0,1
ABNER RAY,0,1
ABNEY,0.841754152205137,6
ABNOR,0,1
ABO,0,2
ABOLEN,1,1
ABOLFATH,0,2
ABOLFAZI,,1
ABOLFAZL,0,2
ABOLGASEM,,1
ABOLGHASEM,0,5
ABOLGHASSE,0,1
ABOLHASSAN,0,4
ABOLSKASEM,0,1
ABOOBAKER,,1
ABOOD,0,1
ABOTALEB,0,1
ABOULGHASE,0,1
ABOULOS,0,1
ABOUTORAB,0,2
ABR,1,1
ABRA,0.841754152205137,3
ABRAAM,0,3
ABRAHAM,0.553026417706619,3775
ABRAHAM CL,0,1
ABRAHAM LI,1,1
ABRAHAN,0,5
ABRAHART,1,1
ABRAHIM,0,6
ABRAHM,0,3
ABRAM,0.433071145993015,623
ABRAM WIGG,1,1
ABRAMINO,0,1
ABRAMS,1,1
ABRAN,0,14
ABRAR,,1
ABREGENE,1,1
ABREM,1,1
ABREN,0,1
ABREY,0,1
ABRHAM,1,1
ABRIL,0,1
ABRIM,1,1
ABRISIO,0,1
ABROM,0.98457536922423,7
ABRON,0.994159458334889,17
ABSALOM,0.680277514240081,12
ABSALON,0.780035465436136,7
ABSALUM,1,1
ABSOLOM,0.780035465436136,4
ABSOLUM,0.780035465436136,4
ABSOLUME,0,1
ABSON,1,2
ABU,0.914078734338459,5
ABUBAKER,0,1
ABUBEKIR,0,1
ABUL,0,4
ABUNDIO,0,26
ABUNDO,0,1
ABUSH,0,1
ABY,0,4
ABYSIUS,0,1
ABYSSINIA,1,1
AC,0,1
ACA,0,1
ACA LEE,0,1
ACACIO,0,7
ACALEE,0,1
ACARL,0,1
ACASIO,0,2
ACASITO,1,2
ACCACIO,,1
ACCIE,0,2
ACCOLINE,0,1
ACCURIO,0,1
ACCURSIO,0,14
ACCURSO,0,1
ACCURZIO,0,1
ACCUSIO,0,1
ACE,0.735889229476407,54
ACEAL,0,1
ACEIE,0,1
ACEIL,0,1
ACEL,0.325950701392799,23
ACELIO,0,3
ACELUS,1,1
ACENCION,0,4
ACENSION,0,3
ACER,1,1
ACEY,0.780035465436136,24
ACHAN,0,1
ACHANONE,,1
ACHEL,0,2
ACHER,0,1
ACHHAR,,1
ACHIBALD,0,1
ACHIE,1,1
ACHIEL,0,8
ACHIEZER,0,1
ACHIL,0,1
ACHILE,0,1
ACHILEAS,0,4
ACHILEFS,0,1
ACHILES,0,1
ACHILLE,0.371476827797475,78
ACHILLE A,0,1
ACHILLEAS,0,1
ACHILLES,0,29
ACHILLEUS,0,1
ACHILLI,0,1
ACHIM,0,1
ACHISON,0,1
ACHMET,0,1
ACHOT,0,1
ACHSAH,0,1
ACIA,1,1
ACIE,0.882600410279198,128
ACIL,0,3
ACILE,0,1
ACISCLO,0.841754152205137,11
ACISOLO,0,1
ACK,0,1
ACKARD,0,1
ACKER,0,1
ACKIES,0,1
ACKLE,0,2
ACKLESS,0,1
ACKLEY,0,4
ACKLIN,1,1
ACKNEY,0,1
ACKOP,0,1
ACKY,0,1
ACLE,0,4
ACLID,0,1
ACMORE,1,1
ACQUILINO,0,3
ACREAL,0,1
ACREE,0,1
ACREL,0,1
ACREUS,,1
ACRIE,1,1
ACRITE,0,1
ACRY,1,1
ACSHIBALD,0,1
ACT,,1
ACTAMAN,0,1
ACTION,0,1
ACTON,0,10
ACUE,0.841754152205137,3
ACURCIO,0,1
ACURCIO JO,0,1
ACUTO,0,1
ACY,0.718567900108406,31
ACYE,0,1
AD,0.876426880904887,5
AD GRAYSON,0,1
AD RICHARD,0,1
ADA,0.726749121361167,10
ADAI,0,1
ADAID,0,1
ADAIN,0,2
ADAIR,0.66608012795834,19
ADALARD,0,1
ADALBERIO,0,1
ADALBERT,0.255497829026493,65
ADALBERTO,0.275335355119969,76
ADALBERTUS,0,1
ADALGISIO,0,1
ADALGISO,0,1
ADALIO,0,2
ADALOR,0,1
ADALORE,0,1
ADALPHO,0,1
ADALPHUS,1,2
ADAM,0.485491331670026,2678
ADAM ANTHO,0,1
ADAM EDWAR,0,1
ADAM EVERE,0,1
ADAM GEORG,0,1
ADAM JOHN,0,1
ADAM LEE,0,1
ADAM WILLI,0,1
ADAMADIOS,0,1
ADAMAL,0,1
ADAMANT,0,1
ADAMANTIOS,0,1
ADAMO,0,8
ADAMORE,0,1
ADAMOS,0,1
