fname,nickname_mpc,sex
WESTLEY,0,1
SALOME,0,2
BARNARD,1,1
NOBLE,0,1
TERESSA,1,2
SUMNER,0,1
STEPHAN,1,1
MARGRATE,1,2
POLLEY,1,2
ABBEY,1,2
SILVESTER,1,1
ANDREAS,0,1
ADAH,0,2
MARGERETT,1,2
FREDERIKA,1,2
CAROLIN,1,2
ANTOINETTE,0,2
SAVANNAH,0,2
AGNUS,1,2
NELLA,0,2
RANDALL,0,1
OREN,0,1
HY,1,1
DOLORES,0,2
JULIET,0,2
CHAUNCEY,0,1
MINTA,1,2
ARCHY,1,1
EDIE,0,2
BIRD,0,1
NILS,0,1
LETTY,1,2
TILLY,1,2
JANNIE,1,2
MARILLA,0,2
STEVE,1,1
MELVILLE,0,1
FREDRICA,1,2
SABRA,0,2
CHAUNCY,1,1
CASSIUS,0,1
OMER,0,1
CELINA,0,2
PHILO,0,1
LOUIS,1,2
ELIZBETH,1,2
MATTY,1,2
CALISTA,0,2
ELIHU,0,1
PRICE,0,1
HENRYETTA,1,2
EUGINE,1,1
PRICILLA,1,2
HOSEA,0,1
DENA,0,2
PAMELIA,1,2
SOPHRONA,1,2
CLAUDIUS,0,1
CRAWFORD,0,1
LEONIDAS,0,1
ABBA,1,2
LIBBY,1,2
DANIAL,1,1
LOUCINDA,1,2
JENETTE,1,2
MYRTA,0,2
ROSWELL,0,1
JESSY,1,1
ALPHA,0,2
TOMMIE,1,1
LEORA,1,2
HOUSTON,0,1
CARROLL,0,1
ROXIE,1,2
BOYD,0,1
HENREY,1,1
ABAGAIL,1,2
YOUNG,0,1
WILFORD,0,1
ANNAH,1,2
CATY,1,2
ELDORA,0,2
LAVENIA,0,2
JIMMY,1,1
MARGART,1,2
CORRA,1,2
ROSENA,1,2
HARRET,1,2
JEANNETTE,1,2
MARGIE,1,2
ALBERTINE,0,2
KATHRINE,1,2
ALBERTINA,0,2
SIMPSON,0,1
PINK,0,1
ALONZA,0,1
EDDIE,0,2
BRIGET,1,2
AUTHUR,1,1
GUSS,1,1
ROLLIN,0,1
ZILPHA,0,2
CHANEY,0,2
BABE,0,1
CATHORINE,1,2
LIDDIA,1,2
IVY,0,2
ELIZABATH,1,2
EVELYN,0,2
AMEY,1,2
EVELINA,0,2
NICKOLAS,1,1
EMMIE,1,2
HILLIARD,0,1
BRADFORD,0,1
AGATHA,0,2
CLAUS,0,1
GARDNER,0,1
SINA,0,2
RILLA,0,2
PHILANDER,0,1
THADDEUS,0,1
JENNEY,1,2
HECTOR,0,1
LUNA,0,2
LAFAYETT,1,1
ISREAL,1,1
PARTHENA,0,2
PEARL,0,1
ELLAN,1,2
AMA,1,2
ALANSON,0,1
WILLIAMS,0,1
MERRITT,0,1
ELSA,0,2
WEST,0,1
LILIE,1,2
BERNICE,0,2
VESTA,0,2
FREDERICH,1,1
SOUSAN,1,2
